iter	Passed	Remaining
0	0	86
1	1	80
2	2	74
3	2	67
4	3	67
5	4	66
6	4	65
7	5	65
8	6	65
9	7	65
10	8	65
11	8	65
12	9	64
13	10	63
14	11	63
15	12	63
16	12	62
17	13	61
18	14	60
19	14	59
20	15	59
21	16	58
22	17	58
23	18	57
24	18	56
25	19	55
26	20	55
27	21	54
28	21	53
29	22	52
30	23	52
31	24	51
32	24	50
33	25	50
34	26	49
35	27	48
36	28	47
37	28	47
38	29	46
39	30	45
40	31	45
41	31	43
42	32	42
43	33	42
44	33	41
45	34	40
46	35	39
47	36	39
48	36	38
49	37	37
50	38	36
51	39	36
52	39	35
53	40	34
54	41	33
55	41	32
56	42	32
57	43	31
58	44	30
59	45	30
60	46	29
61	47	28
62	47	28
63	48	27
64	49	26
65	50	25
66	50	25
67	51	24
68	52	23
69	53	22
70	53	22
71	54	21
72	55	20
73	56	19
74	57	19
75	57	18
76	58	17
77	59	16
78	60	16
79	61	15
80	62	14
81	62	13
82	63	13
83	64	12
84	65	11
85	65	10
86	66	9
87	67	9
88	68	8
89	68	7
90	69	6
91	70	6
92	71	5
93	71	4
94	72	3
95	73	3
96	74	2
97	75	1
98	75	0
99	76	0
